iter	RMSE
226	0.629438022
227	0.6288994215
228	0.6283929546
229	0.6270972991
230	0.6263089315
231	0.6256434769
232	0.6249526906
233	0.6240189069
234	0.6234967502
235	0.6220165151
236	0.6216904657
237	0.6206640751
238	0.6197348241
239	0.6181661694
240	0.6176119243
241	0.6169123856
242	0.6166750965
243	0.6164203508
244	0.6161914538
245	0.6148424109
246	0.6146284067
247	0.6143522598
248	0.6139256272
249	0.6131633252
250	0.6123320939
251	0.611122652
252	0.6108614743
253	0.6098489774
254	0.6092371928
255	0.6088902403
256	0.608589312
257	0.6083837102
258	0.6081832249
259	0.6071121435
260	0.6056829743
261	0.6055046168
262	0.6052437184
263	0.6047814925
264	0.6040683943
265	0.6032330713
266	0.6020420968
267	0.6011449097
268	0.6009894367
269	0.6004925024
270	0.6003227737
271	0.6001564272
272	0.5998618237
273	0.5996276895
274	0.598424543
275	0.5982758263
276	0.5980195205
277	0.5974814825
278	0.5964510161
279	0.5962174797
280	0.5957475248
281	0.5955113019
282	0.5950450466
283	0.594425383
284	0.5928908595
285	0.5915243283
286	0.5910646459
287	0.5905331858
288	0.5903720487
289	0.5889778809
290	0.5878086351
291	0.5866133047
292	0.5861591715
293	0.5855793655
294	0.5851621738
295	0.5850452795
296	0.5839059915
297	0.5832292203
298	0.5828182958
299	0.5823948891
300	0.5817882129
301	0.5810701712
302	0.5805903154
303	0.5801328214
304	0.5794405586
305	0.5786696672
306	0.5782732502
307	0.5778177326
308	0.5772905334
309	0.5767217198
310	0.5765406703
311	0.5761195533
312	0.5755674993
313	0.575020118
314	0.5745140282
315	0.5739447697
316	0.5732779185
317	0.5727382717
318	0.5723675499
319	0.5721738681
320	0.5704779386
321	0.5700729284
322	0.5694230999
323	0.5690035048
324	0.5684097442
325	0.5681962989
326	0.5678322773
327	0.5662567464
328	0.5656905245
329	0.5653304928
330	0.5649100398
331	0.5638605688
332	0.5634899122
333	0.5622924873
334	0.5618853338
335	0.5610934143
336	0.5607317563
337	0.5599294692
338	0.5592757952
339	0.5586859583
340	0.5580421802
341	0.5576019783
342	0.5560624998
343	0.5557691678
344	0.5554226465
345	0.5550017985
346	0.5542563693
347	0.5538227983
348	0.5534878355
349	0.5526721966
350	0.5512548415
351	0.5505008262
352	0.5501575168
353	0.5498216922
354	0.5494915739
355	0.5491869419
356	0.5490301178
357	0.5487056779
358	0.5486061894
359	0.5479340671
360	0.5471551703
361	0.5461591666
362	0.545852341
363	0.5457810152
364	0.5454813137
365	0.545327505
366	0.5449931144
367	0.5439941181
368	0.543773968
369	0.5432881942
370	0.5426923042
371	0.5423997261
372	0.5420010407
373	0.5416990385
374	0.5414435642
375	0.5411716425
376	0.541084582
377	0.5408373326
378	0.5407493938
379	0.5399403377
380	0.5396670722
381	0.539368491
382	0.5389830167
383	0.5378337592
384	0.5369346329
385	0.5366517631
386	0.5363550929
387	0.5352992601
388	0.5350167803
389	0.5347538936
390	0.5340995371
391	0.5335666673
392	0.5333229719
393	0.5327483907
394	0.5324999505
395	0.5321978567
396	0.5317975496
397	0.5315035311
398	0.5310240372
399	0.5300394295
400	0.5296660268
401	0.5294022092
402	0.5290448886
403	0.5288039846
404	0.5283357633
405	0.5282151958
406	0.5279422888
407	0.5272529989
408	0.5266477741
409	0.5264149307
410	0.5261455693
411	0.5253880467
412	0.5251358594
413	0.5247725541
414	0.5246975341
415	0.52403985
416	0.5233929422
417	0.5231099258
418	0.5224683704
419	0.5216488013
420	0.5214252487
421	0.5211782891
422	0.5209247367
423	0.5206150194
424	0.5205540948
425	0.5203095473
426	0.5189769629
427	0.5179971521
428	0.5173491247
429	0.5171283634
430	0.5166141206
431	0.5162465346
432	0.5160072612
433	0.5157924074
434	0.5144946247
435	0.5136707279
436	0.5134371774
437	0.5122300227
438	0.5112612193
439	0.510859303
440	0.5103650022
441	0.5103145971
442	0.5095093719
443	0.50934041
444	0.5088132225
445	0.5084845089
446	0.5083518168
447	0.5077961875
448	0.507496247
449	0.5069999767
450	0.5059589096
451	0.5047091129
452	0.5042841879
453	0.5038676523
454	0.5038089465
455	0.5035812844
456	0.5033314911
457	0.5022776847
458	0.5020066333
459	0.5012538762
460	0.5009434885
461	0.5007552606
462	0.500562661
463	0.5004953256
464	0.5003491905
465	0.4994342755
466	0.4988830405
467	0.498632181
468	0.4978351323
469	0.4976414869
470	0.4969553603
471	0.4967027124
472	0.4963253975
473	0.4958193959
474	0.4956375543
475	0.4953076614
476	0.4951103653
477	0.4945632661
478	0.4945021438
479	0.494432764
480	0.4933317359
481	0.4931452075
482	0.492222879
483	0.4919368707
484	0.4912594623
485	0.4910872916
486	0.490929075
487	0.4902762112
488	0.489838404
489	0.4897034543
490	0.4895113324
491	0.4893317607
492	0.4891586899
493	0.4890531217
494	0.4886840779
495	0.4879487077
496	0.4875526238
497	0.4872291357
498	0.4869474062
499	0.4868098373
500	0.4866057735
501	0.4857921389
502	0.4850107798
503	0.4842308553
504	0.4837689006
505	0.4830046401
506	0.482584095
507	0.4824746284
508	0.4817991216
509	0.4811712178
510	0.4805580667
511	0.4802838416
512	0.4794073956
513	0.4789412939
514	0.4787643577
515	0.4780432572
516	0.4775183718
517	0.4774234834
518	0.4772401009
519	0.477191946
520	0.4767448386
521	0.4757455423
522	0.4755753648
523	0.4754584004
524	0.4749121514
525	0.4742870732
526	0.4741219485
527	0.4738395387
528	0.4731068924
529	0.4730603285
530	0.4724033175
531	0.4718474679
532	0.4716594676
533	0.4710221488
534	0.4705597624
535	0.4699847483
536	0.469585288
537	0.4691457819
538	0.4690610846
539	0.4690234521
540	0.4684041807
541	0.4678620984
542	0.4677386869
543	0.4675555096
544	0.467135216
545	0.4664318527
546	0.4662537607
547	0.4660785692
548	0.4660364613
549	0.4656695443
550	0.4652290179
551	0.4648563691
552	0.4642608185
553	0.4641430474
554	0.4636149071
555	0.4635422834
556	0.4632313568
557	0.4626358021
558	0.4625143171
559	0.4623344597
560	0.4618231603
561	0.4613088865
562	0.4611451449
563	0.4607231592
564	0.4606204873
565	0.46025456
566	0.4594984926
567	0.4590451074
568	0.4586507342
569	0.4585029766
570	0.4582956913
571	0.4582735094
572	0.4577596982
573	0.4572624975
574	0.4569657843
575	0.4565147632
576	0.4562838039
577	0.4561738601
578	0.4561291709
579	0.4556881269
580	0.4554515989
581	0.4549085135
582	0.4547552163
583	0.4544203315
584	0.4540403094
585	0.4540028635
586	0.4539599145
587	0.4538181447
588	0.4533626565
589	0.4527392993
590	0.4523972363
591	0.4522561472
592	0.4521126924
593	0.45164981
594	0.4511000733
595	0.4509975373
596	0.4508548619
597	0.4504807058
598	0.450107185
599	0.4500220342
600	0.4496162269
601	0.4494347696
602	0.4494061529
603	0.448828664
604	0.4484522692
605	0.4480453001
606	0.4479198494
607	0.4478108368
608	0.4475115288
609	0.4473906264
610	0.4468690349
611	0.4464890801
612	0.4463536883
613	0.4458818083
614	0.4457472943
615	0.4452667299
616	0.4449996397
617	0.444628331
618	0.4440678393
619	0.4434450764
620	0.4429911032
621	0.4429040189
622	0.4428298985
623	0.4423343695
624	0.4420400441
625	0.4416227184
626	0.4411663352
627	0.4407992334
628	0.4402835099
629	0.4398823043
630	0.4390558933
631	0.4386343342
632	0.4382896738
633	0.4378353456
634	0.4377077454
635	0.437628128
636	0.4374773321
637	0.4370227751
638	0.4366668229
639	0.4362782897
640	0.4361574148
641	0.436081524
642	0.4356409595
643	0.435517034
644	0.4346148851
645	0.4340962919
646	0.43375418
647	0.433503682
648	0.4331875351
649	0.4329631486
650	0.4327353393
651	0.4323912244
652	0.4318013226
653	0.4316057709
654	0.4310921363
655	0.4307535135
656	0.4300645624
657	0.4297024929
658	0.4294774485
659	0.4288698834
660	0.4287431259
661	0.4284400708
662	0.427940282
663	0.4277199
664	0.4273382024
665	0.4268670865
666	0.4262921345
667	0.4257807506
668	0.4253189317
669	0.4250208481
670	0.4246723244
671	0.4242421568
672	0.4238063183
673	0.4233260768
674	0.4226512485
675	0.4225285048
676	0.4219620244
677	0.4217451741
678	0.4216232999
679	0.4210986526
680	0.4205765746
681	0.4204340744
682	0.4198626335
683	0.4194236336
684	0.4192640172
685	0.419115338
686	0.4187576698
687	0.4186194497
688	0.4182774581
689	0.4178761853
690	0.4177363842
691	0.4171712683
692	0.4170183838
693	0.416668789
694	0.4164752018
695	0.416272908
696	0.415888464
697	0.4154013562
698	0.4152141483
699	0.4147821523
700	0.414463255
701	0.4140603895
702	0.4137287076
703	0.4136034231
704	0.413490941
705	0.4131047598
706	0.4126656316
707	0.412417887
708	0.4120314482
709	0.4118765173
710	0.411798192
711	0.4114859007
712	0.4114014261
713	0.4110083428
714	0.4108765975
715	0.4105856538
716	0.4102692379
717	0.4098343024
718	0.4094362558
719	0.4093027633
720	0.408967911
721	0.4087380208
722	0.4086593828
723	0.4083736699
724	0.4082951781
725	0.407929211
726	0.4075163651
727	0.4073137068
728	0.4072986164
729	0.4069291654
730	0.4068246311
731	0.4064344136
732	0.4059010415
733	0.4055192409
734	0.4053990414
735	0.4053372851
736	0.4049156825
737	0.4048488644
738	0.4047835537
739	0.4044569257
740	0.4043480635
741	0.4040616328
742	0.4036420394
743	0.4034409694
744	0.4033723931
745	0.4029070345
746	0.4026284773
747	0.402538629
748	0.4021897142
749	0.4018967694
750	0.4014440952
751	0.401172643
752	0.4004754408
753	0.3998690283
754	0.3994185102
755	0.3991976363
756	0.39917278
757	0.3984903898
758	0.3981962327
759	0.3977906975
760	0.3975360243
761	0.3973231482
762	0.3967626995
763	0.3966565258
764	0.3961293572
765	0.3960752464
766	0.3957602153
767	0.3956837297
768	0.3955787138
769	0.3954450547
770	0.3953250952
771	0.395258014
772	0.3951683419
773	0.394900913
774	0.3944844016
775	0.394206955
776	0.3938739524
777	0.3937477281
778	0.3935180999
779	0.3931448059
780	0.393097662
781	0.3929883593
782	0.3929131311
783	0.3925044455
784	0.3921115713
785	0.3919359368
786	0.3917584609
787	0.3914671968
788	0.3912417399
789	0.3911459891
790	0.3908655851
791	0.3905302638
792	0.3902535712
793	0.3899001791
794	0.3896381074
795	0.3896193736
796	0.3892119087
797	0.3890048873
798	0.3889158414
799	0.3888363615
800	0.3885610375
801	0.3880472056
802	0.3878421862
803	0.3875282534
804	0.3872412873
805	0.3871135221
806	0.3868947497
807	0.3866556081
808	0.3863933094
809	0.3862375462
810	0.3861810003
811	0.3857632623
812	0.3854751713
813	0.385037579
814	0.3848719338
815	0.3844561936
816	0.384357787
817	0.3838334071
818	0.3837175458
819	0.3835803178
820	0.3832886455
821	0.3829114888
822	0.3826718912
823	0.3823508806
824	0.3820245179
825	0.3819612822
826	0.3818773962
827	0.3815793444
828	0.3814860674
829	0.3810960373
830	0.3810186958
831	0.380667359
832	0.3801931975
833	0.380083533
834	0.3798265029
835	0.3797418771
836	0.3796133921
837	0.3791298284
838	0.378942907
839	0.3786742103
840	0.3782455609
841	0.3779266347
842	0.3776323336
843	0.3775221512
844	0.3770253724
845	0.3767165883
846	0.3764439406
847	0.3761631404
848	0.3759518796
849	0.3754564423
850	0.3753349958
851	0.375132063
852	0.3746510423
853	0.3741842351
854	0.3737754941
855	0.3736364074
856	0.3733077193
857	0.3731572686
858	0.3730155602
859	0.372675747
860	0.3725930167
861	0.3722639387
862	0.3722009505
863	0.3719829166
864	0.371871444
865	0.3713386157
866	0.3712428578
867	0.3709133677
868	0.3708535328
869	0.3706064202
870	0.370325166
871	0.3700008848
872	0.3699504985
873	0.3696972019
874	0.3696029483
875	0.3692862532
876	0.3690625078
877	0.3689555386
878	0.3686304616
879	0.3682612067
880	0.3678729559
881	0.3673077364
882	0.36701703
883	0.3670052096
884	0.3666869892
885	0.3665043406
886	0.3663243008
887	0.3662188637
888	0.3661266665
889	0.3661165222
890	0.3658862516
891	0.3654637686
892	0.3653883088
893	0.3652687075
894	0.3650078286
895	0.3649013651
896	0.3646259855
897	0.3639412834
898	0.3636844906
899	0.3633264895
900	0.3630994837
901	0.3627422087
902	0.3626421053
903	0.3624674426
904	0.3621534396
905	0.3620786488
906	0.3619559587
907	0.3615238093
908	0.361498031
909	0.3612515046
910	0.3609549765
911	0.3606710203
912	0.3605817356
913	0.3600121181
914	0.3596071935
915	0.3595828456
916	0.3593174782
917	0.3592836411
918	0.3590529508
919	0.3587946714
920	0.3586543746
921	0.3582342356
922	0.3579047085
923	0.3578115372
924	0.3575425941
925	0.3574491355
926	0.357316638
927	0.35710287
928	0.3568586416
929	0.3566177028
930	0.3565422352
931	0.3564948259
932	0.3561752436
933	0.3561351714
934	0.355713602
935	0.3554651169
936	0.3554027325
937	0.3553129086
938	0.3552523811
939	0.3550547897
940	0.3549642527
941	0.3547600119
942	0.3546999095
943	0.3546441217
944	0.3542581653
945	0.3542414189
946	0.3538408893
947	0.3537880935
948	0.3535437408
949	0.353283959
950	0.3530999491
951	0.3526880988
952	0.3523447579
953	0.3521962837
954	0.352091039
955	0.3519715295
956	0.3516641411
957	0.3514321652
958	0.3514211973
959	0.350987755
960	0.3508997383
961	0.3506968254
962	0.3505987608
963	0.3502369529
964	0.3497916858
965	0.3494950253
966	0.3494496952
967	0.3493663348
968	0.349071065
969	0.3485549117
970	0.3484333543
971	0.34819154
972	0.3480287535
973	0.3477557367
974	0.3474678046
975	0.3472322286
976	0.3471455557
977	0.3470256357
978	0.346981395
979	0.3467612423
980	0.3464000574
981	0.3461029668
982	0.3457696967
983	0.3457513124
984	0.3457424811
985	0.3454158834
986	0.3451129732
987	0.3445206149
988	0.3444077046
989	0.3441573706
990	0.343696202
991	0.3433806915
992	0.3432473096
993	0.3428734168
994	0.3427729366
995	0.342729872
996	0.342336516
997	0.3419874689
998	0.3419141964
999	0.3416268511
